#group,false,false,false,false,false,false,false,false
#datatype,string,long,double,string,double,string,long,dateTime:RFC3339
#default,_result,,,,,,,
,result,table,Humidity,SSID,Temperature,device,rssi,time
,,0,32,HCILAB,22.9,ESP32,-68,2023-06-06T13:48:30.42065925Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:48:40.73767578Z
,,0,32,HCILAB,23.1,ESP32,-65,2023-06-06T13:48:50.983549586Z
,,0,32,HCILAB,23,ESP32,-66,2023-06-06T13:48:58.02731235Z
,,0,32,HCILAB,23,ESP32,-66,2023-06-06T13:49:05.128790097Z
,,0,32,HCILAB,23,ESP32,-67,2023-06-06T13:49:12.277114953Z
,,0,32,HCILAB,23,ESP32,-69,2023-06-06T13:49:21.599613821Z
,,0,32,HCILAB,23,ESP32,-68,2023-06-06T13:49:28.661782504Z
,,0,32,HCILAB,23,ESP32,-68,2023-06-06T13:49:35.731166515Z
,,0,32,HCILAB,23,ESP32,-71,2023-06-06T13:49:42.899089978Z
,,0,32,HCILAB,23,ESP32,-68,2023-06-06T13:49:50.071678937Z
,,0,33,HCILAB,22.9,ESP32,-66,2023-06-06T13:50:30.018694404Z
,,0,32,HCILAB,23.2,ESP32,-66,2023-06-06T13:50:37.744988869Z
,,0,32,HCILAB,23.2,ESP32,-62,2023-06-06T13:50:45.678062216Z
,,0,32,HCILAB,23.2,ESP32,-67,2023-06-06T13:50:53.23127063Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:51:00.325084732Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:51:07.784683889Z
,,0,32,HCILAB,23.1,ESP32,-66,2023-06-06T13:51:15.07108369Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:51:22.185953094Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:51:29.288736459Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:51:36.86580676Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:51:44.137454617Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:51:53.438550113Z
,,0,32,HCILAB,23.1,ESP32,-66,2023-06-06T13:52:00.521591557Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:52:07.689267795Z
,,0,32,HCILAB,23.1,ESP32,-63,2023-06-06T13:52:14.756878444Z
,,0,32,HCILAB,23.1,ESP32,-65,2023-06-06T13:52:21.847515703Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:52:28.988049647Z
,,0,32,HCILAB,23.1,ESP32,-65,2023-06-06T13:52:36.038316356Z
,,0,32,HCILAB,23.1,ESP32,-67,2023-06-06T13:52:43.324193656Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:52:50.575299005Z
,,0,32,HCILAB,23.1,ESP32,-65,2023-06-06T13:52:57.732733882Z
,,0,32,HCILAB,23.1,ESP32,-62,2023-06-06T13:53:05.237681742Z
,,0,32,HCILAB,23.1,ESP32,-66,2023-06-06T13:53:12.414573021Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:53:19.472886159Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:53:26.639264823Z
,,0,32,HCILAB,23.1,ESP32,-64,2023-06-06T13:53:33.976127136Z
,,0,32,HCILAB,23.1,ESP32,-66,2023-06-06T13:53:41.078811755Z
,,0,32,HCILAB,23.1,ESP32,-65,2023-06-06T13:53:48.259799688Z
,,0,32,HCILAB,23.1,ESP32,-63,2023-06-06T13:53:55.645311876Z
,,0,32,HCILAB,23.1,ESP32,-62,2023-06-06T13:54:02.861820105Z
,,0,32,HCILAB,23,ESP32,-66,2023-06-06T13:54:10.059996484Z
,,0,32,HCILAB,23,ESP32,-64,2023-06-06T13:54:17.231343948Z
